,text
562,For Sale:Turbo Pascal 5.5 - all original manuals and disks:  $30 obo + shippingBorland Paradox 3.5 with tall boxed manual set & Kallista desktop - alloriginal disks.  $50 obo + shippingBorland Paradox 4.0 - opened but never used.  All manuals & disks.$125 obo + shippingBorland Quattro Pro 4.0 (DOS) all manuals & disks.  $40 obo + shippingE-mail or phone if interested.John Hansen(513) 257-6084
563,"Ok folks... I am in need for some money to purchase a Video Game Backup-Unit, so Ihave decided to let go my SEGA CD unit... Heres the deal:Sega Genesis CD/Rom Unit:------------------------  o Playes Sega CD games  o Playes Regular CD's  o Playes CD-G's (Cd's w/graphics)  o Comes w/ 5 Cd's (Pack-Ins)     o Sega's Hot Hits (Regular CD w/ music)     o Rock Paintings (CD-G - music w/Graphics Karoki like)     o Sol-Feace (Shooter)     o Sherlock Holmes (Mystery) - Clue Book, No Docs.     o Sega Classics (Streets of Rage, Revenge of Shinobi, Columns,                      & Golden Axe) - No Docs.  o Box and Documents (CD Unit) Included. All games comes w/Jewels and       documentation unless otherwise specified.Other Games:-----------     o Cobra Command (Docs have water dammage)     o Road Avenger *2 Weeks old!!     o Night Trap (No Docs.)     o All games come w/Jewels and documentation unless otherwise specified.  Im going to sell all of this to the HIGHEST bidder as of 4/30/93. Iwould like to start all of the above at $250.00 or Trade for a Genesis/SnesVideo Backup-Unit. If you would like to bid or make an offer, just drop mesome mail... I will keep everone informed of what the current bids are.."
567,"     Digitally-tuned shorwave radio with alarm clock and 5 presets per band.       Has AM, FM, SW1, and SW2 bands.   Asking $25 + shppg.         Reply for more details.    Thanks      Pete 3mwieu4@cmuvm.cmich.edu"
571,"SALE: VOICE PROCESSING SYSTEM for IBM compatibles Item:  DIALOGIC/41B Multi-line Voice Processing System  Description: The DIALOG/41B is a PC XT/AT board that provides    processing functions and call progress analysis for four     independent phone lines simultaneously.  The D/41B features     the ability to record, playback, autoanswer, auto-dial,    detect and generate DTMF tones, and perform telephone    mamagement functions.    With this card you can make your computer talk on    4 phone lines simultaneously.  You can design your own    ANSWERING SYSTEM or by one already programmed.  You can build    your own DIGITAL PAGER business and open up a business for     VOICE MAILBOXES.        Comes complete with manuals and demo software and programming    libraries for C (UNIX and DOS).       PRICE: LIST     $1395.00         YOU PAY   $795.00   For more info send mail!"
576,I have a video board for sale for Macintosh NU-Bus machines.  My other deal fell through.  I am asking $200.RasterOps 8XL640x480800x600  <--- This was incorrectly posted as 832x624 before.640x8701024x768 (60hz & 75 hz)1152x870Make offers by mail.
580,I didn't see any smilies in this message so.......                W     T    L    PTs   Team A      50    30    4    104   Team B      52    32    0    104There you go.  Two teams that tie in points without identical records.
582,One pair of kg1's in Oak finish with black grilles.Includes original packaging.$200 + shipping Firm.
583,To everyone who wants fonts in Vivid/POV/Polyray.The Borland BGI font converter is VVFONT18.ZIP.This program can be found on FTP.INFORMATIK.UNI-OLDENBURG.DE directorypub/dkbtrace/utils.Also WUARCHIVE has mirrored this site (directory graphics/graphics/mirrors/ftp.informatik.uni-oldenburg.de/pub/dkbtrace/utils.There are more nice utilities present in this directory.A new version of Polyray 1.6 (for those asked for it) can be found on the same sites but in the directory INCOMING instead of UTILS (PLY16386).Also in this directory POVSHELL and PV3DV060 could be found.Have a nive raytrace time.Peter
584,Which distance? The distance between one point (t = ti) on the first curveand a point on the other curve with same parameter (u = ti)?
595,"OK.  Instead of holding an auction, I have decided to compute prices for each comic (after many suggestions).  These are the most reasonable prices I can give (not negotiable).  If you would like to purchase a comic (or group), simply email me with the title and issue #'s you want.  The price for each issue is shown beside each comic.  First come, first served!!!  There is no more bidding.  Meet my price and it is yours.  I can be reached at this email address:02106@chopin.udel.edu or02106@ravel.udel.edu or02106@bach.udel.edu or02106@brahms.udel.eduNO MORE HAGGLING ABOUT THE PRICE!!!!!!!!LOTS OF COMICS FOR $1, $2, or $3 LOOK AT LIST!!!!!For all those who have bought comics from me, thanks!!!All comics are near mint unless otherwise noted (my books were graded bymile high comics and other comic professional collectors, not me!)Here is the list:Incredible Hulk156 (vs another Hulk) $3195 $2196 $2246 (vs Captain Marvel) $1248 $1249 $1250 (Double size issue vs Silver Surfer) $5255 (vs Thor) $1279 $1300 $2312 $2313 $1316 (vs Bi Coastal Avengers) $1347 $1348 $1350 (vs Thing) $2354 $1358 $1360 $1362 (vs Werewolf By Night) $2364 $1365 $1366 $1379 (1 copy) $5Punisher50 $157 $2Punisher War Journal29 (Ghost Rider) $230 (Ghost Rider) $2Punisher Armory1 $42 $2Original Ghost Rider Rides Again (Reprint)1 $1Ghost Rider (old series)37 $343 (vs Johnny Blaze) $377 (2 copies, origin of GR dream) $4 eachGhost Rider (new series)15 (1st print, Green glow in dark cover, 1 copy) $515 (2nd print, gold cover w/ glow cover) $3Web of Spiderman56 (2 copies) $2 each60 $369 (vs Hulk, 1 copy left!!!)  $270 (SpiderHulk, 1 copy left!!!)  $271 $172 $178 $1Deadly Foes of Spiderman1 (2 copies) $2 each2 $23 $2Amazing Spiderman vs Dr. Octopus (special NACME issue) $2Amazing Spiderman 350 (vs Dr. Doom, 1 copy LEFT!!!) $2Spiderman (1990)1 (silver, not bagged) $46 $37 $38 (2 copies) $2 each9 (w/ Wolverine, 1 COPY LEFT!!!) $210 $211 $113 $516 $1New Warriors1 (gold cover) $28 $410 $211 $112 $113 $114 (w/ Darkhawk) $115 $1Superman Man of Steel #1 $2Superman (new)53 (2 copies) $1 each55 $156 $1Adventures of Superman 479 $1Annual #3 $1Superman Annual #3 (Armegedon 2001 tie in) $1Action Comics #666 $1Avengers West Coast #69 (Hawkeye vs US Agent) $1Batman465 (Robin returns) $2466 $1467 $1Annual #15 (Armegedon 2001 tie in) $3Captain America 230 (vs Hulk) $2257 (vs Hulk) $1Armegedon 2001 1 $42 $2Foolkiller #1 $2Infinity Gauntlet 1 $64 $35 $3Double Dragon #1 $1Deathlok (series) 2 $1Transformers #80 (last issue) $2 Wonder Man1 $12 $1Flaming Carrot #25 (w/ Ninja Turtles) $2The Comet #1 $1Legend of the Shield #1 $1Justice Society of America1 $12 $13 $14 $1Official movie mag from Turtles II movie (sealed w/ Jelloman comic) $5Robin 1 (1 copies w/ poster) $31 (3rd print) $15 (6 copies) $1 eachGuardians of the Galaxy 1 $62 $33 $24 $25 $26 $27 $28 $29 (2 copies) $3 each10 $211 $212 $113 $314 $315 $116 $117 $118 (2 copies) $2 eachSuperman vs Amazing Spiderman (oversized issue from 70's) $7DarkHawk1 (3 copies) $8 each2 (2 copies) $6 each3 $54 $45 $46 $37 $28 $29 $310 $1Thor246 $1428 $1429 (vs Juggernaut) $2430 (w/ Ghost Rider) $1431 $1432 (Thor vs Loki, 2 copies) $3 each433 (new Thor) $2Annual #16 $1What if....13 $123 $125 $226 $1Alpha Flight29 $151 $653 $694 (vs Fant. 4) $1New Mutants22 $2100 (last issue, 1st look at X-Force, 1st print, 2 copies) $5 each100 (2nd print, gold cover) $4Flash (new)43 $148 $149 $150 $251 $1Annual #4 $1X-Men (new)1 (all 5 covers) $1 each but $2 for magneto  foldout coverUncanny X-Men191 $3215 $2255 (2 copies) $2 each258 $6268 (1 sold,1 copy left!, Lee reg artist) $10275 (1 COPY LEFT 1st print) $6275 (gold 2nd print) $3276 $3277 $3278 $2279 $2280 $2281 $3282 $4283 $6Defenders52 (Hulk vs Sub Mariner) $2Fantastic Four347 $4348 $2349 (3 copies) $2 eachWolverine11 $320 $241 (w/ Cable, 2 copies) $6 each42 $443 $3Silver Surfer (1987)1 $62 $33 $34 $35 $26 $28 $222 $224 $232 $249 $250 (Foil cover, only 1 copy left!!) $651 $252 $253 $154 $155 $156 $158 $259 $2Avengers326 $3328 (origin of Rage) $3X-Factor40 $667 $368 $671 $373 $1Quasar21 $122 $123 $124 $1Green Lantern (1990)3 $29 (2 copies) $1 each10 $111 $112 $1Toxic Avenger1 (3 copies) $1 each2 $1Sleepwalker1 (3 copies) $2 each3 $17 $1Kool Aid Man #1 (sealed in white bag, 2 copies) $2 eachX-Force1 (bagged w/ Cable Card) $41 (bagged w/ Shatterstar Card) $32 $23 $14 $1NFL Superpro1  $1Dr. Strange #31 $1Hawkworld Annual #2 (2nd print, Armegedon 2001 tie in) $1Hawk & Dove Annual #2 (Armegedon 2001 tie in) $1Justice League of America Annual #5 (Armegedon 2001 tie in) $1Send all bids and comments to02106@chopin.udel.eduThanksSam (the ""ex""  comic book collector)"
602,Or just stick 'em on sci.space.news every 28-30 days? 
603,"Updated April 17, 1993.  TITLE                                                   PRICE   --------------------------------------------------------------Alpha Flight 13 (Wolverine appears)                   	$ 8.40 	     50 (Double Size)				$ 1.05	     51 (Jim Lee's first work at Marvel)	$ 6.30Aliens 1 (1st app Aliens in comics, 1st prnt, May 1988)	$23.10Amazing Spider-Man 128 (3rd Vulture)                    $15.00                136 (Intro new Green Goblin)            $22.00                137 (Green Goblin appears)              $14.00                180 (Green Goblin appears)              $11.00                238 (1st appearance Hobgoblin)          $60.00                250 (Hobgoblin appears)                 $ 8.40                267 (Peter David script, Human Torch)   $ 2.45                275 (r/origin Spiderman, Hobgoblin)     $ 8.40                276 (Hobgoblin appears)                 $ 6.30                284 (Punisher, Hobgoblin appear)        $ 6.30                291 (Spiderslayer appears)              $ 3.15                293 (Kraven appears)                    $ 5.60                294 (Kraven appears)                    $ 5.60                306 (Todd McFarlane)                    $ 7.00                312 (Hobgoblin vs Green Goblin)         $12.60                315 (Venom appears)                     $10.50		320 (Todd McFarlane art)		$ 4.90		321 (Todd McFarlane art)		$ 4.90                323 (Silver Sable, Paladin, C. America) $ 4.90		324 (Sabretooth appears)		$ 8.40                325 (Red Skull, Captain America)        $ 4.90                328 (Hulk appears, last McFarlane)      $ 5.25                330 (Punisher appears)                  $ 2.80                331 (Punisher appears)                  $ 2.80                337 (Hobgoblin appears)                 $ 2.45		338					$ 1.75		342					$ 1.75		343					$ 1.75                344 (Intro Cletus Kassady - Carnage)    $ 4.90		346 (Venom appears)			$ 4.90		347 (Venom appears)			$ 4.90		348					$ 1.40		349					$ 1.40		350 (52 pages)				$ 2.10		351					$ 1.40		352					$ 1.40		353 (Punisher, Darkbawk appear)		$ 1.40		354					$ 1.40		355 (Punisher appears)			$ 1.40		356 (Punisher appears)			$ 1.40		357 (Punisher appears)			$ 1.40		358 (Punisher appears)			$ 1.40		365 (1st App Spider-Man 2099, Holo-c)	$ 4.20        Annual 24                                       $ 2.45        Annual 25 (1st solo Venom story)                $ 3.50         Annual 26 (New Warriors, Venom)                 $ 3.50Anne Rice's Vampire Companion 1				$ 5.00Anne Rice's Vampire Lestat 5				$ 5.00Archer and Armstrong 1 (Frank Miller/Smith/Layton)	$ 9.00		     9 					$ 2.50 		     10					$ 2.50Avengers 263 (1st appearance X-factor)                  $ 3.50	 272 (Alpha Flight appears)			$ 1.05	 300 (68 Pages, new team)			$ 1.75	 306						$ 0.70	 324 (Alpha Flight appears)			$ 0.70	 329 (New team)					$ 0.70	 Annual 15					$ 2.45	 Annual 18					$ 2.10	 Annual 19					$ 1.75Batman Legends of the Dark Knight 1 (blue cover)        $ 3.85				  3 			$ 2.00Batman Shadow of the Bat 1 (still in polybag)           $ 5.00Batman Versus Predator 1 (Prestige edition, Predator)	$ 5.00		       1 (Prestige edition, Batman)	$ 5.00Batman Year One (trade paperback, 1st printing)         $ 7.00Bloodshot 1 (Chromium cover, BWSmith Cover/Poster)	$ 7.00	  3						$ 2.50	  4						$ 2.50	  5						$ 2.50Daredevil 131 (Origin Bullseye)                         $16.00          138 (Ghost Rider, Death's Head early app)     $11.00          158 (Frank Miller art begins)                 $40.00          159 (Deathstalker appears, Frank Miller art)  $20.00          169 (Elektra 2nd appearance, Bullseye)        $ 5.60          170 (Bullseye, Kingpin appear)                $ 4.20          182 (Punnisher appears, Frank Miller art)     $ 8.40          183 (Punnisher appears, Frank Miller art)     $ 8.40          184 (Punnisher appears, Frank Miller art)     $ 8.40          196 (Wolverine appears)                       $ 8.40Darkhawk 2 (Spider-Man and Hobgoblin appear)            $ 7.00Dark Horse Presents 1 (1st app Concrete, 1st printing)	$ 8.40		    5 (Concrete appears)		$ 2.80		    25 					$ 2.10		    32 (Annual)				$ 2.80		    37 					$ 1.40		    42 (Aliens appear)			$ 3.50Dazzler 1 (X-Men appear)				$ 1.40	40						$ 0.70	41						$ 0.70	42 (Beast appears)				$ 0.70Deathlok 1                                              $ 2.80Deathstroke the Terminator 1 (1st printing)             $ 5.60                           2                            $ 3.50Defenders 125 (Intro New Defenders)                     $ 2.10	  152 (Double size, X-Factor appears)		$ 2.00Demon 13 (Lobo appears)					$ 1.05      14 (Lobo appears)					$ 1.05      15 (Lobo appears)					$ 1.05Eternal Warrior 1 (Miller cover)			$11.00		2 					$ 7.00		9					$ 2.50		10					$ 2.50		11					$ 2.50Fantastic Four 112 (Hulk vs. The Thing)                 $25.00	       337 (Simonson art begins)		$ 0.70	       338 (Simonson art)			$ 0.70	       339 (Simonsom art)			$ 0.70	       344 (Simonson art)			$ 0.70	       345 (Simonson art)			$ 0.70               347 (Art Adams cover art, Wolverine)     $ 3.50               348 (Ghost Rider/Wolverine appear)       $ 2.10               349 (Ghost Rider/Wolverine appear)       $ 2.10               350 (52 pages)                           $ 1.75	       351 					$ 0.70	       352 (Simonson art)			$ 0.70	       353 (Simonson art)			$ 0.70	       354 (Simonson art)			$ 0.70	       355 					$ 0.70	       356 (Fantastic Four vs New Warriors)	$ 0.70               358 (80 page 30th anniversary issue)     $ 2.25	       359					$ 0.70	       360					$ 0.70	       361					$ 0.90	       362					$ 0.90	       Annual 24				$ 1.40Flash 27						$ 1.05      28						$ 1.05      48						$ 0.70      50						$ 1.25      53 (Superman/Flash race)				$ 0.70Ghost Rider 16 (Spider-man/Hobgoblin cover and story)   $ 2.45            17 (Spider-man/Hobgoblin cover and story)   $ 2.45Ghost Rider and Cable 1	(Sam Keith cover)		$ 4.00Ghost Rider and Captain America: Fear			$ 5.00Guardians of the Galaxy 25 (Prism foil cover)           $ 2.50Harbinger 10 (1st Appearance H.A.R.D. Corps)		$ 7.00	  16						$ 3.00	  17						$ 2.50	  18						$ 2.50H.A.R.D. Corps 1 					$ 5.00	       6 					$ 2.50	       7					$ 2.50Havok and Wolvreine: Meltdown 1				$ 3.50Incredible Hulk 314 (Byrne art begins)                  $ 3.50                323                                     $ 1.40		324 (1st app Grey Hulk since #1, 1962)	$ 7.00                327                                     $ 1.40		330 (1st McFarlane issue)		$17.50		331 (Grey Hulk series begins)		$11.20	                367 (1st Dale Keown art in Hulk)        $14.00		372 (Green Hulk appears, Keown art)	$12.60		373 (Keown art)                         $ 4.20                376 (Keown art, Grey vs Green Hulk)     $ 4.20                377 (1st all new hulk, 1st prnt, Keown) $14.00		381 (Keown c/a)				$ 2.80                384 (Keown c/a)                         $ 2.80                385 (Keown c/a)                         $ 2.80                386 (Keown c/a)                         $ 2.80                387 (Keown c/a)                         $ 2.80                388 (Keown c/a)                         $ 2.80                389 (Keown c/a)                         $ 2.10                390 (Keown c/a)                         $ 2.80		392 (Keown c/a)				$ 2.80		393 (Green foil stamped cover, Keown)	$ 5.60Infinity Gauntlet 1 (Perez painted cover. Thanos)       $ 7.00                  2 (Thanos)                            $ 4.20                  3 (Thanos)                            $ 2.80John Byrne's Next Men 3					$ 3.00                      4                                 $ 3.00Justice League America 46				$ 0.70		       47				$ 0.70		       50				$ 1.25		       52				$ 0.70Justice League Quarterly 1				$ 2.50Justice Society of America 1  (April 1991)		$ 1.25Kamandi 1 (Origin Kamandi, Kirby art)                   $25.00        2 (Kirby art)                                   $15.00        3 (Kirby art)                                   $ 9.00        7 (Kirby art)                                   $ 5.00Last Generation 1                                       $ 2.10Magnus Robot Fighter 21 (New direction & logo begins)	$ 5.00		     23					$ 3.00		     24					$ 2.50Marc Spector Moon Knight 25 (Ghost Rider appears)	$ 2.50Marvel Comics Presents 1 (Wolverine, Silver Surfer)     $ 7.00		       2 (Wolverine, Master of KungFu)	$ 3.50		       3 (Wolverine, Master of KungFu)	$ 3.50		       4 (Wolverine, Master of KungFu)	$ 3.50		       5 (Wolverine, Daredevil)		$ 3.50		       6 (Wolverine, Hulk)		$ 2.80		       7 (Wolverine, Submariner)	$ 2.80		       10 (Wolverine, Man-Thing)	$ 2.80		       11 (Man-Thing, Ant-Man)		$ 1.40		       12 (Man-Thing, Colossus)		$ 1.40		       13 (Black Panther, Shanna)	$ 1.40                       14 (Black Panther, Nomad)        $ 1.40		       17 (Ron Lim art, Black Panther)	$ 1.40		       18 (Ron Lim art, Black Panther)	$ 1.40		       19 (Rob Liefeld art, Cyclops)	$ 1.40		       20 (Ron Lim art, Black Panther)	$ 1.40		       21 (Ron Lim art, Black Panther)	$ 1.40		       22 (Ron Lim art, Black Panther)	$ 1.40                       25 (Nth Man, Havok, Blk Panther) $ 1.40		       26 (Black Panther, Havok, Hulk)	$ 1.40		       27 (Black Panther, Havok)	$ 1.40		       28 (Black Panther, Havok)	$ 1.40		       29 (Black Panther, Havok)	$ 1.40		       30 (Black Panther, Havok)	$ 1.40		       31 (Erik Larsen, Excalibur)	$ 1.40		       42 (Wolverine)			$ 2.10                       51 (Rob Liefeld, Wolverine)      $ 2.10                       52 (Rob Liefeld, Wolverine)      $ 2.10                       53 (Rob Liefeld, Silver Sable)   $ 2.10                       60 (Wolverine, Hulk)             $ 4.20                       62 (Jackson Guice, Deathlok)     $ 5.60                       63 (Poison, Thor, Scarlet Witch) $ 2.80                       64 (Mark Texiera, Ghost Rider)   $ 3.15                       65 (Mark Texiera, Ghost Rider)   $ 3.15                       66 (Mark Texiera, Ghost Rider)   $ 3.15                       67 (Mark Texiera, Ghost Rider)   $ 3.15                        72 (B.W.Smith, Weapon X)         $ 5.60 		       73 (B.W.Smith, Weapon X)		$ 2.80		       75 (B.W.Smith, Weapon X)		$ 2.10		       76 (B.W.Smith, Weapon X)		$ 2.10                       77 (B.W.Smith, Weapon X,Dracula) $ 2.10 		       80 (B.W.Smith, Weapon X)		$ 2.10		       81 (B.W.Smith, Weapon X)		$ 1.75                       82 (B.W.Smith, Weapon X)         $ 1.75                       83 (B.W.Smith, Weapon X)         $ 1.75                       84 (B.W. Smith, Weapon X)        $ 1.75                       85 (1st Keith art and Jae Lee)   $ 4.20		       88 (Keith, Wolverine, Beast)	$ 2.80		       97 (Ghost Rider, Cable)		$ 1.40		       104 (Wolverine, Ghost Rider)	$ 1.05                       106 (Wolverine, Ghost Rider)     $ 1.05Maxx 1 (Sam Keith)                                      $ 3.00Metropol 1 (Ted McKeever)                               $ 3.00Mighty Mouse 2						$ 1.25	     4						$ 1.00	     5						$ 1.00	     6						$ 1.00	     10						$ 1.00Moon Knight 1 (1980)					$ 3.00'Nam 6                                                  $ 1.70     7                                                  $ 1.70     52 (Frank Castle (Punisher))                       $ 3.15New Mutants 18 (Intro new Warlock, Magus)               $ 6.30            85 (Rob Liefeld/Todd McFarlane cover)       $ 1.05	    86 (McFarlane cover, 1st app Cable - cameo)	$10.50            88 (Rob Liefeld, 2nd Cable)                 $14.00            89 (Rob Liefeld, 3rd Cable)                 $10.50            90 (Rob Liefeld, Sabretooth appears)        $ 8.40            91 (Rob Liefeld, Sabretooth appears)        $ 8.40	    92 (Rob Liefeld cover)			$ 3.50            93 (Rob Liefeld, Wolverine vs Cable)        $10.50             94 (Rob Liefeld, Wolverine vs Cable)        $10.50            96 (Rob Liefeld, X-Tinction agenda)         $ 8.40             97 (Rob Liefeld, Wolverine/Cable cover)     $ 8.40            98 (1st app Deadpool, Gideon, Domino)       $ 8.40	    99 (1st app Feral of X-Force)		$ 5.40             100 (1st app X-Force)                       $ 6.30	    Annual 4 (Evolutionary War)			$ 2.10	    Annual 5 (1st Liefeld art on New Mutants)	$12.60	    Annual 6					$ 1.40            Annual 7 (2nd app X-Force)                  $ 8.40	    Summer Special 1 (Art Adams art)		$ 2.10Olympians 1 (McFarlane)                                 $ 2.80Omega Men 3 (1st appearance Lobo)                       $ 7.00          10 (1st full Lobo story)                      $ 7.00          Annual 1                                      $ 1.05                 2                                      $ 1.05Power Man & Iron Fist 78 (3rd appearance Sabretooth)    $25.00                      84 (4th appearance Sabretooth)    $20.00Power Pack 27 (Wolverine and Sabretooth appear)         $ 7.00Predator: Big Game 3 (Contains trading cards)           $ 2.10Punisher 9 (Wilce Portacio)                             $ 7.70Punisher and Captain America: Blood and Glory 1		$ 5.00					      2 	$ 5.00					      3		$ 5.00Punisher P.O.V 1 (Starlin script, Wrightson art)        $ 5.00               2 (Starlin script, Wrightson art)        $ 5.00               3 (Starlin script, Wrightson art)        $ 5.00Punisher War Journal 16 (Jim Lee art)			$ 3.50                      29 (Ghost Rider appears)           $ 1.75                     30 (Ghost Rider appears)           $ 1.75                     31                                 $ 1.25                     32                                 $ 1.25                     35                                 $ 1.25                     36                                 $ 1.25                      38                                 $ 1.25                     39                                 $ 1.25                     40                                 $ 1.25Punisher War Zone 1 (Die-cut cover)                     $ 2.45                  2                                     $ 1.75Ragman 1 (Pat Broderick, Origin Ragman)                 $ 3.00Rocketeer Special Edition (Dave Stevens art, 1984)	$ 7.00 Shadowman 13						$ 2.50	  14						$ 2.50Simpsons Comics and Stories 1 (Polybagged special ed.)	$10.00Solar Man of the Atom 18				$ 3.00		      19				$ 2.75		      20				$ 2.75		      21				$ 2.50		      22				$ 2.50Spectacular Spider-Man 81 (Punisher appears)            $ 9.80                       93 (Answer appears)              $ 2.10                       94 (Cloak and Dagger appear)     $ 2.10                       95 (Cloak and Dagger appear)     $ 2.10                       99 (Spot appears)                $ 2.10                       116 (Sabretooth appears)         $ 3.50                       117 (Sabretooth appears)         $ 3.50                       119 (Sabretooth appears)         $ 3.50                       124 (Dr. Octopus appears)        $ 1.75                       130 (Hobgoblin appears)          $ 2.80                       131 (Kraven appears)             $ 4.20                       132 (Kraven appears)             $ 3.50                       140 (Punisher appears)           $ 2.10                       142 (Punisher appears)           $ 3.50                       143 (Punisher appears)           $ 3.50                       147 (1st app New Hobgoblin)      $14.00                       152 (Origin Lobo Bros, Punisher) $ 1.40		       157				$ 1.40		       158 (Spider-Man gets new powers)	$ 8.40		       159 (Cosmic Spider-Man appears)	$ 5.60		       160				$ 1.05                       189 (1st ed Hologram, Hobgoblin) $ 5.60                       Annual 10 (McFarlane story)      $ 1.75Spider-Man 1 (Gold edition, direct sale)                $ 3.50           1 (Regular edition, green, unbagged)         $ 3.50                 5 (Lizard, Calypso appear, McFarlane)        $ 2.80           6 (Hobgoblin, Ghost Rider appear)            $ 4.20           7 (Hobgoblin, Ghost Rider appear)            $ 4.20           13 (Black costume returns)                   $ 3.50           14 (Black costume, Morbius appear)           $ 5.00           16 (McFarlane/Liefeld art, X-Force appears)  $ 3.00           18 (Sinister Six, Hulk appear)               $ 2.00           19 (Hulk, Deathlok appear)                   $ 2.00	   26 (Origin retold, hologram cover)		$ 3.00Star Trek the Next Generation 1 (Feb 1988, DC mini)     $ 7.00 Star Trek the Next Generation 1 (Oct 1989, DC comics)   $ 6.30                              2                         $ 4.20Strange Adventures (dozens, but in varying high grades) ASKSwamp Thing 72                                          $ 1.25            73 (John Constantine appears)               $ 1.25            Annual 3                                    $ 1.40Tales of the Teen Titans 44 (Deathstroke app/orogin)    $ 5.60Terminator 1 (Dark Horse)                               $ 4.20Terminator: Secondary Objectives 1                      $ 2.10Terminator 2 Judgement Day 1                            $ 1.00Thor 374 (Mutant Massacre, X-Factor, Sabretooth app)    $ 5.60     432 (Eric Masterson becomes new Thor)              $ 2.10Warlock and the Infinity Watch 2 (Starlin scripts)	$ 2.80			       3			$ 2.10                               4                        $ 1.60			       5 			$ 1.60			       6			$ 1.60                               7                        $ 1.25                               8                        $ 1.25                               9 (Gamora vs Thanos)     $ 1.25Web of Spider-Man 2					$ 4.90		  3					$ 4.90		  4					$ 3.50		  5					$ 3.50		  8 (Thunder appears)                   $ 3.15                  16 (Magma appears)                    $ 2.30                  18                                    $ 2.30                  20                                    $ 2.30                  21                                    $ 2.30                  29 (Hobgoblin, Wolverine appear)      $ 9.10                  30 (Origin Rose, Hobgoblin appears)   $ 8.40		  47 (Hobgoblin appears)		$ 1.00		  52					$ 1.00		  66 (Green Goblin as super-hero)	$ 1.40		  67 (Green Goblin as super-hero)	$ 1.40		  68 					$ 1.00		  71 					$ 1.00		  72 					$ 1.00		  73					$ 1.00		  74					$ 1.00		  75					$ 1.00		  76					$ 1.00		  77					$ 1.00		  78					$ 1.00		  79					$ 1.00		  80					$ 1.00		  81					$ 1.00		  82					$ 1.00		  83					$ 1.00		  84 (Rose & Hobgoblin story)		$ 1.00		  85 (Rose & Hobgoblin story)		$ 1.00		  86 (Rose & Hobgoblin story)		$ 1.00		  87 (Rose & Hobgoblin story)		$ 1.00		  90 (Hologram cover, polybagged)	$ 4.20		  91					$ 1.00		  Annual 3				$ 2.00Werewolf by Night 33 (2nd appearance Moon Knight)       $20.00                  37 (Moon Knight appears)              $ 5.00Wolverine 10 (Before claws, 1st battle with Sabretooth)	$16.80	  41 (Sabretooth claims to be Wolverine's dad)	$ 7.00	  42 (Sabretooth proven not to be his dad)	$ 3.50	  43 (Sabretooth/Wolverine saga concludes)	$ 2.80Wolverine 1 (1982 mini-series, Miller art)		$21.00Wonder Woman 267 (Return of Animal Man)                 $13.00             Annual 1                                   $ 2.00                    2                                   $ 2.00    X-Factor 47                                             $ 1.05         51 (Sabretooth appears)                        $ 3.50         52 (Sabretooth appears)                        $ 3.50         53 (Sabretooth appears)                        $ 3.50	 57 						$ 1.00	 62 (X-Tinction Agenda, Jim Lee cover)		$ 4.20	 63 (Whilce Portacio art begins)		$ 4.20          69 (Whilce Portacio art)                       $ 1.40         70 (Last ""Old Team"" issue)                     $ 1.40         Annual 6 (New Warriors, X-Force appear)        $ 1.75X-Force 1 (Signed by Liefeld, Bagged, X-Force card)     $25.00        1 (Signed by Liefeld, Bagged, Shatterstar card) $15.00        1 (Signed by Liefeld, Bagged, Deadpool card)    $15.00        1 (Signed by Liefeld, Bagged, Sunspot/Gideon)   $15.00        1 (Bagged, Cable card)                          $ 4.20X-Men 210 (Mutant Massacre, Intro Marauders)            $12.60      211 (Mutant Massacre, Marauders appear)           $12.60      212 (Wolverine battles Sabretooth)                $22.00      213 (Wolverine battles Sabretooth)                $22.00      218 (Art Adams cover)				$ 2.80      226 (Fall of the mutants)				$ 5.60      239 (Inferno)					$ 2.80      245 (Rob Liefeld art)				$ 2.10      253 (All new X-Men begin)				$ 2.80      267 (Jim Lee art series begins)			$ 8.40      276 (Jim Lee art)					$ 1.05      277 (Last Jim Lee art)				$ 1.05      279						$ 1.05      280						$ 1.05      281 (New X-Men team, 1st printing)		$ 4.20X-O Manowar 13						$ 3.00            15						$ 3.00	    16						$ 3.00All comics are in near mint to mint condition, are bagged in shiny polypropylene bags, and backed with white acid free boards.  Shipping is$1.50 for one book, $3.00 for more than one book, or free if you order a large enough amount of stuff.  I am willing to haggle.I have thousands and thousands of other comics, so please let me know what you've been looking for, and maybe I can help.  Some titles I have postedhere don't list every issue I have of that title, I tried to save space."
